timestamp,demand2019,demand2030,pv_cf,wind_cf
2019-01-09 14:00:00,737.31825775,1095.177491228151,0.513,0.358
2019-01-09 15:00:00,734.06028325,1090.3382507754818,0.302,0.288
2019-01-09 16:00:00,772.613654,1147.6035950315984,0.042,0.223
2019-01-09 17:00:00,883.13383,1311.765010823928,0.0,0.144
2019-01-09 18:00:00,918.7396689999999,1364.6522315311563,0.0,0.078
2019-01-09 19:00:00,909.0154835000001,1350.2083886340258,0.0,0.049
2019-01-09 20:00:00,881.72885975,1309.6781348006205,0.0,0.054
2019-01-09 21:00:00,836.263919,1242.1466730118302,0.0,0.07
2019-01-09 22:00:00,748.37709,1111.6037549645557,0.0,0.072
2019-01-09 23:00:00,664.9508635,987.686403833559,0.0,0.068
2019-01-10 00:00:00,577.0221622500001,857.0812907365553,0.0,0.071
2019-01-10 01:00:00,522.978117,776.8068349359716,0.0,0.072
2019-01-10 02:00:00,494.11377425,733.9331122977172,0.0,0.058
2019-01-10 03:00:00,479.31136849999996,711.946322437262,0.0,0.041
2019-01-10 04:00:00,485.704701,721.4426746221437,0.0,0.028
2019-01-10 05:00:00,532.8498845,791.46988912051,0.0,0.021
2019-01-10 06:00:00,638.8747595,948.9541984940739,0.0,0.025
2019-01-10 07:00:00,696.8252200000001,1035.031057813385,0.076,0.04
2019-01-10 08:00:00,736.73306075,1094.3082674220161,0.158,0.065
2019-01-10 09:00:00,741.40773725,1101.251809681767,0.312,0.091
2019-01-10 10:00:00,726.12047325,1078.5448344247689,0.466,0.105
2019-01-10 11:00:00,734.71654525,1091.3130311545024,0.594,0.105
2019-01-10 12:00:00,724.08564175,1075.5223924415166,0.61,0.103
2019-01-10 13:00:00,725.379034,1077.4435358075461,0.579,0.097
2019-01-10 14:00:00,744.27219325,1105.5065364606571,0.436,0.094
2019-01-10 15:00:00,757.3494985,1124.9309440420245,0.217,0.112
2019-01-10 16:00:00,791.3654855,1175.4566741629526,0.021,0.142
2019-01-10 17:00:00,871.99748975,1295.223620388709,0.0,0.172
2019-01-10 18:00:00,893.07505625,1326.5312357339558,0.0,0.215
2019-01-10 19:00:00,876.3892035,1301.746863230402,0.0,0.264
2019-01-10 20:00:00,843.763726,1253.286529822131,0.0,0.305
2019-01-10 21:00:00,791.437962,1175.564327310842,0.0,0.315
2019-01-10 22:00:00,708.22786375,1051.9680028086186,0.0,0.289
2019-01-10 23:00:00,631.7685655,938.3989957233604,0.0,0.253
2019-01-11 00:00:00,543.215107,806.86589790539,0.0,0.226
2019-01-11 01:00:00,487.571711,724.2158425267844,0.0,0.222
2019-01-11 02:00:00,458.74351624999997,681.3958124094147,0.0,0.233
2019-01-11 03:00:00,445.32268175,661.4611428099514,0.0,0.241
2019-01-11 04:00:00,452.323581,671.8599457642596,0.0,0.258
2019-01-11 05:00:00,500.03606325,742.7297988590138,0.0,0.269
2019-01-11 06:00:00,600.2180915,891.5354214130998,0.0,0.272
2019-01-11 07:00:00,658.9089245,978.7119948498918,0.076,0.264
2019-01-11 08:00:00,701.26949725,1041.6323759793424,0.214,0.249
2019-01-11 09:00:00,701.8704095,1042.5249424707943,0.391,0.244
2019-01-11 10:00:00,684.68528725,1016.9989787849938,0.369,0.213
2019-01-11 11:00:00,689.32846375,1023.895732442115,0.383,0.165
2019-01-11 12:00:00,675.60711975,1003.5147003162381,0.363,0.136
2019-01-11 13:00:00,664.18121325,986.5432019379621,0.376,0.123
2019-01-11 14:00:00,654.37528675,971.9779448450352,0.267,0.134
2019-01-11 15:00:00,658.62305075,978.2873715708095,0.104,0.176
2019-01-11 16:00:00,697.7954985,1036.4722633745564,0.004,0.237
2019-01-11 17:00:00,800.269286,1188.681956178541,0.0,0.309
2019-01-11 18:00:00,827.9284115,1229.765506404318,0.0,0.357
2019-01-11 19:00:00,814.598015,1209.9651691110341,0.0,0.37
2019-01-11 20:00:00,780.1607445,1158.8136845051515,0.0,0.346
2019-01-11 21:00:00,743.3306595,1104.108026984738,0.0,0.312
2019-01-11 22:00:00,681.65078075,1012.491667076849,0.0,0.288
2019-01-11 23:00:00,624.91616975,928.2207728087557,0.0,0.281
2019-01-12 00:00:00,544.3092992500001,808.4911590605027,0.0,0.311
2019-01-12 01:00:00,484.796456,720.0936106730753,0.0,0.362
2019-01-12 02:00:00,450.06428775,668.5040989674715,0.0,0.407
